-100 , 9800
-99 , 9603
-98 , 9408
-97 , 9215
-96 , 9024
-95 , 8835
-94 , 8648
-93 , 8463
-92 , 8280
-91 , 8099
-90 , 7920
-89 , 7743
-88 , 7568
-87 , 7395
-86 , 7224
-85 , 7055
-84 , 6888
-83 , 6723
-82 , 6560
-81 , 6399
-80 , 6240
-79 , 6083
-78 , 5928
-77 , 5775
-76 , 5624
-75 , 5475
-74 , 5328
-73 , 5183
-72 , 5040
-71 , 4899
-70 , 4760
-69 , 4623
-68 , 4488
-67 , 4355
-66 , 4224
-65 , 4095
-64 , 3968
-63 , 3843
-62 , 3720
-61 , 3599
-60 , 3480
-59 , 3363
-58 , 3248
-57 , 3135
-56 , 3024
-55 , 2915
-54 , 2808
-53 , 2703
-52 , 2600
-51 , 2499
-50 , 2400
-49 , 2303
-48 , 2208
-47 , 2115
-46 , 2024
-45 , 1935
-44 , 1848
-43 , 1763
-42 , 1680
-41 , 1599
-40 , 1520
-39 , 1443
-38 , 1368
-37 , 1295
-36 , 1224
-35 , 1155
-34 , 1088
-33 , 1023
-32 , 960
-31 , 899
-30 , 840
-29 , 783
-28 , 728
-27 , 675
-26 , 624
-25 , 575
-24 , 528
-23 , 483
-22 , 440
-21 , 399
-20 , 360
-19 , 323
-18 , 288
-17 , 255
-16 , 224
-15 , 195
-14 , 168
-13 , 143
-12 , 120
-11 , 99
-10 , 80
-9 , 63
-8 , 48
-7 , 35
-6 , 24
-5 , 15
-4 , 8
-3 , 3
-2 , 0
-1 , -1
0 , 0
1 , 3
2 , 8
3 , 15
4 , 24
5 , 35
6 , 48
7 , 63
8 , 80
9 , 99
10 , 120
11 , 143
12 , 168
13 , 195
14 , 224
15 , 255
16 , 288
17 , 323
18 , 360
19 , 399
20 , 440
21 , 483
22 , 528
23 , 575
24 , 624
25 , 675
26 , 728
27 , 783
28 , 840
29 , 899
30 , 960
31 , 1023
32 , 1088
33 , 1155
34 , 1224
35 , 1295
36 , 1368
37 , 1443
38 , 1520
39 , 1599
40 , 1680
41 , 1763
42 , 1848
43 , 1935
44 , 2024
45 , 2115
46 , 2208
47 , 2303
48 , 2400
49 , 2499
50 , 2600
51 , 2703
52 , 2808
53 , 2915
54 , 3024
55 , 3135
56 , 3248
57 , 3363
58 , 3480
59 , 3599
60 , 3720
61 , 3843
62 , 3968
63 , 4095
64 , 4224
65 , 4355
66 , 4488
67 , 4623
68 , 4760
69 , 4899
70 , 5040
71 , 5183
72 , 5328
73 , 5475
74 , 5624
75 , 5775
76 , 5928
77 , 6083
78 , 6240
79 , 6399
80 , 6560
81 , 6723
82 , 6888
83 , 7055
84 , 7224
85 , 7395
86 , 7568
87 , 7743
88 , 7920
89 , 8099
90 , 8280
91 , 8463
92 , 8648
93 , 8835
94 , 9024
95 , 9215
96 , 9408
97 , 9603
98 , 9800
99 , 9999
